Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
0,360,162,0.45,14.4,1862,0.5,0.5,25,55.37
1,360,180,0.5,14.4,1844,0.5,0.5,25,59.79
2,360,198,0.55,14.4,1826,0.5,0.5,25,51.61
3,360,216,0.6,14.4,1808,0.5,0.5,25,46.68
4,370,166.5,0.45,14.8,1847.5,0.5,0.5,25,55.62
5,370,185,0.5,14.8,1829,0.5,0.5,25,59.88
6,370,203.5,0.55,14.8,1810.5,0.5,0.5,25,50.73
7,370,222,0.6,14.8,1792,0.5,0.5,25,46.84
8,380,171,0.45,15.2,1833,0.5,0.5,25,55.85
9,380,190,0.5,15.2,1814,0.5,0.5,25,59.98
10,380,209,0.55,15.2,1795,0.5,0.5,25,49.86
11,380,228,0.6,15.2,1776,0.5,0.5,25,46.98
12,390,175.5,0.45,15.6,1818.5,0.5,0.5,25,56.1
13,390,195,0.5,15.6,1799,0.5,0.5,25,60.08
14,390,214.5,0.55,15.6,1779.5,0.5,0.5,25,49
15,390,234,0.6,15.6,1760,0.5,0.5,25,47.13
16,400,180,0.45,16,1804,0.5,0.5,25,56.36
17,400,200,0.5,16,1784,0.5,0.5,25,60.18
18,400,220,0.55,16,1764,0.5,0.5,25,48.14
19,400,240,0.6,16,1744,0.5,0.5,25,47.28
20,410,184.5,0.45,16.4,1789.5,0.5,0.5,25,56.62
21,410,205,0.5,16.4,1769,0.5,0.5,25,60.28
22,410,225.5,0.55,16.4,1748.5,0.5,0.5,25,47.28
23,410,246,0.6,16.4,1728,0.5,0.5,25,47.43
24,420,189,0.45,16.8,1775,0.5,0.5,25,56.86
25,420,210,0.5,16.8,1754,0.5,0.5,25,60.38
26,420,231,0.55,16.8,1733,0.5,0.5,25,46.48
27,420,252,0.6,16.8,1712,0.5,0.5,25,47.57
28,430,193.5,0.45,17.2,1760.5,0.5,0.5,25,54.14
29,430,215,0.5,17.2,1739,0.5,0.5,25,59.75
30,430,236.5,0.55,17.2,1717.5,0.5,0.5,25,47.15
31,430,258,0.6,17.2,1696,0.5,0.5,25,47.59
32,440,198,0.45,17.6,1746,0.5,0.5,25,51.9
33,440,220,0.5,17.6,1724,0.5,0.5,25,59.23
34,440,242,0.55,17.6,1702,0.5,0.5,25,47.71
35,440,264,0.6,17.6,1680,0.5,0.5,25,47.61
