Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
202,360,198.0,0.55,14.4,1826.0,0.7,0.3,60,33.94
199,450,270.0,0.6,18.0,1664.0,0.7,0.3,25,20.76
5,370,185.0,0.5,14.8,1829.0,0.5,0.5,25,59.88
97,400,200.0,0.5,16.0,1784.0,0.6,0.4,25,49.59
184,420,189.0,0.45,16.8,1775.0,0.7,0.3,25,36.69
111,430,258.0,0.6,17.2,1696.0,0.6,0.4,25,46.27
108,430,193.5,0.45,17.2,1760.5,0.6,0.4,25,46.01
194,440,242.0,0.55,17.6,1702.0,0.7,0.3,25,25.88
109,430,215.0,0.5,17.2,1739.0,0.6,0.4,25,51.04
8,380,171.0,0.45,15.2,1833.0,0.5,0.5,25,55.85
